index,showTime,danmuType,color,fontSize,content,submitTime,sender
"177","450.579","R2L","FFFFFF","25","真坑爹","1516774265","3465936b"
"178","449.6","R2L","FFFFFF","25","真·坑爹","1512388479","97793313"
"179","451.989","R2L","FFFFFF","25","听说再放个  电视在前面贞子小姐姐   就会一直穿停不下来","1524023616","49f3a643"
"180","453.584","R2L","FFFFFF","25","为了儿子不要爹","1514454749","5f88741c"
"181","451.392","R2L","FFFFFF","25","还有三部呢","1543630362","f92d5e3c"
"182","449.949","R2L","FFFFFF","25","坑爹","1512393129","c19c574c"
"183","453.622","R2L","FFFFFF","25","我可没觉得好","1512873734","2ed4b238"
"184","452.926","R2L","FFFFFF","25","没看懂","1512706987","ec593446"
"185","449.179","R2L","FFFFFF","25","是你吗！？洛丹伦第一大孝女","1554954275","2e7870a2"
"186","447.924","R2L","FFFFFF","25","挖槽","1524624286","68e99799"
"187","447.54","R2L","FFFFFF","25","给一个狗看啊","1512380786","95047d53"
"188","445.492","R2L","FFFFFF","25","实力坑爹","1512436402","4fa7d9a0"
"189","446.729","R2L","FFFFFF","25","坑爹","1515770023","67d03b1"
"190","447.941","R2L","FFFFFF","25","我去坑爹啊","1515218278","726e2747"
"191","444.671","R2L","FFFFFF","25","护体","1514981889","cef6e0a8"
"192","445.048","R2L","FFFFFF","25","scp不收容他","1531534932","aa194a6c"
"193","443.755","R2L","FFFFFF","25","这是一种极好的宣传手段啊","1526487860","df3a80bc"
"194","443.197","R2L","FFFFFF","25","233333","1512391069","cb365008"
"195","436.876","R2L","FFFFFF","25","小孩子应该不会","1534398493","abc9d5ae"
"196","433.005","R2L","FFFFFF","25","弹幕护体","1512387035","661cc173"
"197","430.1","R2L","FFFFFF","25","把电视机放在窗边- 0-","1516951918","11ac3966"
"198","430.201","R2L","FEF102","25","坑爹开始","1512456754","53cb643b"
"199","427.966","R2L","FFFFFF","25","经典","1513792879","176fe9be"
"200","431.076","TOP","FFFFFF","25","未亡人.avi","1512378903","ce1e560"
"201","427.398","R2L","FFFFFF","25","护体","1564508888","b75073f"
"202","431.17","R2L","00CD00","25","死了 第二部死了","1558689336","f92d5e3c"
"203","430.582","R2L","FFFFFF","25","弹幕","1512397470","236352ea"
"204","423.574","R2L","FFFFFF","25","快脱裤子","1512377607","e83f934e"
"205","423.02","R2L","FFFFFF","25","这段视频up主也没有早就删除了","1534325756","3c42eb27"
"206","423.124","R2L","FFFFFF","25","贞子的眼睛巨恐怖","1519791707","c59ba4c5"
"207","422.205","R2L","E70012","25","141特遣队正在赶往途中 请前夫坚持住","1517221627","c92a0977"
"208","425.637","R2L","FFFFFF","25","咱们都看了录像带","1512387594","533bed01"
"209","426.598","R2L","FFFFFF","25","这个我在午夜坤铃里看见过","1562300213","834df3d9"
"210","424.511","R2L","FFFFFF","25","木护体啊啊啊啊啊啊啊啊啊啊","1514435166","3e9686a4"
"211","426.084","R2L","FFFFFF","25","护眼小分队呢","1540476825","819f9b42"
"212","422.791","R2L","FFFFFF","25","弹幕啊","1512464778","41586950"
"213","423.68","R2L","FFFFFF","25","把电视扣上不就行了吗","1533782613","59e53e40"
"214","422.909","R2L","FFFFFF","25","打","1512393550","5e170d71"
"215","422.539","R2L","FFFFFF","25","弹幕护体","1516774221","3465936b"
"216","422.978","R2L","FFFFFF","25","你不要过来","1561348931","9a991ac8"
"217","424.21","R2L","FFFFFF","25","弹幕护体！","1512445309","bf694142"
"218","426.392","R2L","FFFFFF","25","弹幕护体","1512387028","661cc173"
"219","423.735","TOP","FFFF00","25","giao","1562246787","ce8a036"
"220","418.886","TOP","E2027F","25","护体","1514607647","53eea67"
"221","417.359","R2L","FFFFFF","25","护体护体护体护体护体护体护体护体护体护体护体","1568681275","be749d10"
"222","417.461","TOP","FFFFFF","25","护眼","1534903373","75c5b111"
"223","418.337","R2L","FFFFFF","25","弹幕护体","1540633915","2ecc7fb7"
"224","417.167","TOP","FFFF00","25","giao护眼","1562246812","ce8a036"
"225","416.522","R2L","FFFFFF","25","弹幕护体！护体！护体！护体！体！体！体！","1530519414","4737039a"
"226","416.82","TOP","E70012","25","大兄弟，我告诉你，以后如果看到贞子爬出来，其实你用力把她推回去，就可以了。。","1517054094","fef73c10"
"227","417.641","R2L","FFFFFF","25","还不赶紧砸电视","1512565135","64f8c859"
"228","416.614","TOP","E70012","25","弹幕护体","1526636563","bab35535"
"229","416.78","R2L","FFFFFF","25","不用护眼，贞子很漂亮的","1514024163","37ccd58b"
"230","418.093","R2L","FF0000","25","富强、民主、文明、和谐，自由、平等、公正、法治， 爱国  敬业、诚信、友善","1517117186","734e1885"
"231","418.889","R2L","E70012","25","不不不，不要摘掉头套","1520877405","f0474ec7"
"232","417.047","R2L","FFFFFF","25","弹幕护体","1560279766","3849859b"
"233","417.558","TOP","E70012","25","护眼护眼护眼护眼护护眼护眼护眼护眼护眼护眼护眼护眼护眼","1517632152","52a761fa"
"234","419.584","R2L","FFFFFF","25","啊啊啊","1526399434","8226f1b4"
"235","416.362","R2L","FFFFFF","25","护眼小分队","1512697017","c15a237f"
"236","416.868","R2L","FFFFFF","25","这是最精彩的","1562246042","d023236a"
"237","416.894","TOP","FFFFFF","25","哈，你们也看了录像带，请注意你们的电话","1512997785","dea1427b"
"238","419.398","R2L","FFFFFF","25","我就看过这一段","1527145464","10f4d749"
"239","417.049","TOP","FFFFFF","25","护眼","1525159553","b2747cfd"
"240","418.11","R2L","FFFFFF","25","脚瘸了","1519791692","c59ba4c5"
"241","416.6","BOTTOM","E70012","25","弹幕大军何在，快来护驾，护驾","1512407256","b5e2fee"
"242","418.658","R2L","E70012","25","护眼小队呢","1512394239","6b1cd7d5"
"243","417.167","TOP","FFFF00","25","特技护眼","1562246818","ce8a036"
"244","418.928","R2L","FFFFFF","25","关电视","1534398475","abc9d5ae"
"245","421.35","R2L","FFFFFF","25","。。弹幕护体","1512386743","661cc173"
"246","417.567","R2L","FFFFFF","25","gigi","1523185911","381276ca"
"247","415.37","TOP","E70012","25","■■■前方高能 护眼小分队正在待命■■■","1512380031","4a8b9cfc"
"248","414.08","R2L","FFFFFF","25","让开让我来","1512873685","2ed4b238"
"249","413.369","TOP","E70012","25","■■■前方高能 护眼小分队正在待命■■■","1512380023","4a8b9cfc"
"250","416.21","R2L","FFFFFF","25","有人吗","1512379107","313ace3"
"251","412.944","R2L","E70012","25","乌拉！乌拉！","1523684002","fa4771fb"
"252","413.926","R2L","FFFFFF","25","弹幕护体啊","1514435156","3e9686a4"
"253","416.027","R2L","FFFFFF","25","弹幕在哪里","1512464771","41586950"
"254","415.139","R2L","FFFFFF","25","护体  护体  护体","1560595038","e9a31731"
"255","414.077","R2L","FFFFFF","25","爬出来，给你自由","1513436236","62635645"
"256","414.276","R2L","FFFFFF","25","囚歌的我给你加一个buff","1540145055","d0fc3bd6"
"257","415.823","R2L","FFFFFF","25","人民的贞子","1513994646","ce9adbb6"
"258","415.69","R2L","FFFFFF","25","卡住了，帮帮忙。。。","1512396770","e3608169"
"259","413.987","R2L","FFFFFF","25","然后爬了出来","1512577635","10095e2"
"260","416.188","R2L","FFFFFF","25","出来了 血赚","1512462299","2e8dda3d"
"261","416.235","R2L","FFFFFF","25","你说这个时候把电视一脚踢爆会怎样？","1548913997","21e505a7"
"262","414.567","R2L","FFFFFF","25","手机太小","1512462286","2e8dda3d"
"263","412.22","R2L","FFFFFF","25","爬出来了，爬出来了","1517222983","17214552"
"264","416.221","R2L","FFFFFF","25","护眼护眼","1512443860","41c9323"
"265","416.176","R2L","FFFFFF","25","感谢高能预警","1512393180","c19c574c"
"266","410.799","R2L","FFFFFF","25","一个人大喊着：爬出来吧！我给你自由","1526690431","6f087cb8"
"267","411.558","R2L","FFFFFF","25","666","1518574419","74431e5"
"268","413.974","TOP","E70012","25","弹幕护体","1526636557","bab35535"
"269","415.252","R2L","FFFFFF","25","哈哈哈哈哈哈哈哈","1570289364","668d131e"
"270","412.553","R2L","FFFFFF","25","弹幕护体","1512383049","ceeb712"
"271","413.326","R2L","FFFFFF","25","这集很经典的","1512396321","fbd2d33e"
"272","412.221","R2L","66FF00","25","出来吧皮卡皮卡","1517707299","34117c89"
"273","412.917","R2L","E70012","25","■■■","1534413829","653fe0f1"
"274","411.759","R2L","E70012","25","护眼小分队护眼小分队","1512385930","b495e0d1"
"275","407.277","TOP","683A7B","25","■■■前方高能 护眼小分队正在待命■■■    ","1512379972","4a8b9cfc"
"276","407.277","TOP","E2027F","25","■■■前方高能 护眼小分队正在待命■■■           ","1512379950","4a8b9cfc"
"277","407.277","TOP","00A0EA","25","■■■前方高能 护眼小分队正在待命■■■      ","1512379841","4a8b9cfc"
"278","407.277","TOP","009843","25","■■■前方高能 护眼小分队正在待命■■■    ","1512379937","4a8b9cfc"
"279","407.277","TOP","002E72","25","■■■前方高能 护眼小分队正在待命■■■","1512379964","4a8b9cfc"
"280","407.277","TOP","90C320","25","■■■前方高能 护眼小分队正在待命■■■","1512379961","4a8b9cfc"
"281","409.189","R2L","FFFFFF","25","砸了","1513075036","e9a5b923"
"282","407.441","TOP","E70012","25","爬出来了","1512378916","e51cce7a"
"283","410.219","TOP","00CCFF","25","想起了人民的贞子","1513150983","deb96073"
"284","409.54","R2L","FFFFFF","25","弹幕护体","1520765151","65a48e50"
"285","410.156","TOP","FFFFFF","25","完了。我也看了录像带了","1512379059","ce1e560"
"286","407.268","R2L","FFFFFF","25","来了来了","1522408798","1261dd62"
"287","409.038","R2L","FFFFFF","25","最经典的一幕","1512379686","fe4c4a93"
"288","409.199","R2L","FFFFFF","25","经典来了","1524624247","68e99799"
"289","407.277","TOP","90C320","25","■■■前方高能 护眼小分队正在待命■■■         ","1512379938","4a8b9cfc"
"290","405.277","TOP","E70012","25","■■■前方高能 护眼小分队正在待命■■■","1512379912","4a8b9cfc"
"291","407.277","TOP","FEF102","25","■■■前方高能 护眼小分队正在待命■■■","1512379642","4a8b9cfc"
"292","407.277","TOP","FEF102","25","■■■前方高能 护眼小分队正在待命■■■ ","1512379647","4a8b9cfc"
"293","407.277","TOP","009843","25","■■■前方高能 护眼小分队正在待命■■■  ","1512379932","4a8b9cfc"
